交易日期,作物代號,作物名稱,市場代號,市場名稱,上價,中價,下價,平均價,交易量
109.06.08,rest,休市,104,台北二,0,0,0,0,0
109.06.08,FA100,康乃馨-紅,105,台北市場,17,17,17,17,48
109.06.08,FA104,康乃馨-櫻紅,105,台北市場,16,16,16,16,84
109.06.08,FA800,康乃馨-多朵(混色),105,台北市場,23,17,15,17.7,180
109.06.08,FA840,康乃馨-多朵粉,105,台北市場,31,31,30,30.8,120
109.06.08,FA884,康乃馨-多朵黃帶紅,105,台北市場,15,15,15,15,34
109.06.08,FA985,美女撫子-綠石竹,105,台北市場,96,58,39,62,69
109.06.08,FB000,火鶴花-火鶴花,105,台北市場,11,8,5,8.2,2035
109.06.08,FB001,火鶴花-混色,105,台北市場,5,5,5,5,30
109.06.08,FB100,火鶴花-紅色,105,台北市場,5,5,5,5,110
109.06.08,FB103,火鶴花-紅青心,105,台北市場,5,5,5,5,165
109.06.08,FB105,火鶴花-紅綠邊,105,台北市場,5,5,5,5,40
109.06.08,FB106,火鶴花-丘比特,105,台北市場,8,7,5,6.5,1618
109.06.08,FB108,火鶴花-千里達,105,台北市場,8,7,5,6.6,400
109.06.08,FB111,火鶴花-月光,105,台北市場,7,5,5,5.4,770
109.06.08,FB200,火鶴花-橙色,105,台北市場,5,5,5,5,45
109.06.08,FB302,火鶴花-黃瑪莉,105,台北市場,11,10,8,10,547
109.06.08,FB401,火鶴花-夏粉　,105,台北市場,7,6,5,6.2,100
109.06.08,FB405,火鶴花-粉綠邊,105,台北市場,11,11,11,11,60
109.06.08,FB407,火鶴花-夢幻,105,台北市場,10,8,5,7.9,614
109.06.08,FB408,火鶴花-粉佳人,105,台北市場,10,10,10,10,40
109.06.08,FB415,火鶴花-羅莎,105,台北市場,11,8,5,8,1638
109.06.08,FB417,火鶴花-彩虹,105,台北市場,5,5,5,5,65
109.06.08,FB420,火鶴花-小紅莓,105,台北市場,9,9,8,8.6,135
109.06.08,FB425,火鶴花-吉祥,105,台北市場,8,7,5,6.7,224
109.06.08,FB500,火鶴花-翠綠,105,台北市場,8,7,5,6.9,1134
109.06.08,FB505,火鶴花-香檳,105,台北市場,6,6,5,5.7,115
109.06.08,FB509,火鶴花-森林,105,台北市場,10,10,8,9.5,166
109.06.08,FB601,火鶴花-白青心,105,台北市場,10,10,10,10,24
109.06.08,FB606,火鶴花-辛巴,105,台北市場,5,5,5,5,24
109.06.08,FB607,火鶴花-月亮女神,105,台北市場,12,11,10,10.8,270
109.06.08,FB801,火鶴花-咖啡條紋,105,台北市場,15,13,11,13,82
109.06.08,FB802,火鶴花-大地,105,台北市場,11,11,10,10.8,150
109.06.08,FB805,火鶴花-黑珍珠,105,台北市場,6,6,6,6,50
109.06.08,FC000,大菊-大菊,105,台北市場,0,0,0,0,0
109.06.08,FC316,大菊-黃精競,105,台北市場,64,37,18,38.4,321
109.06.08,FC410,大菊-羅莎諾粉,105,台北市場,79,79,79,79,80
109.06.08,FC613,大菊-白天星,105,台北市場,95,63,23,61.5,2598
109.06.08,FD000,小菊-小菊,105,台北市場,42,41,40,41,41
109.06.08,FD001,小菊-混合色,105,台北市場,18,18,18,18,27
109.06.08,FD131,小菊-小紅娘,105,台北市場,21,17,15,17.4,216
109.06.08,FD138,小菊-卡洛琳,105,台北市場,63,53,30,50.2,507
109.06.08,FD200,小菊-金,105,台北市場,43,27,20,28.6,170
109.06.08,FD300,小菊-黃,105,台北市場,42,33,21,32.7,468
109.06.08,FD308,小菊-黃丁字菊,105,台北市場,41,41,40,40.5,50
109.06.08,FD309,小菊-日本黃,105,台北市場,55,55,55,55,50
109.06.08,FD350,小菊-黃風車,105,台北市場,25,24,15,22,57
109.06.08,FD400,小菊-粉,105,台北市場,42,32,20,31.5,110
109.06.08,FD401,小菊-秋陽,105,台北市場,55,41,37,43,90
109.06.08,FD422,小菊-吉祥小粉,105,台北市場,47,42,25,39.6,555
109.06.08,FD423,小菊-粉日記,105,台北市場,23,21,18,21.1,215
